98,ILKKA1,Ilkka Yhtyma,Helsinki,Consumer Cyclicals,Media & Publishing,€89.77M,15.1x,0.03,€3.54,0%
99,SPINN,Spinnova Oy,Helsinki,Consumer Cyclicals,Textiles & Apparel,€89.16M,-4.6x,0.15,€1.69,-1.1%
100,SRV1V,SRV Group plc,Helsinki,Industrials,Construction & Engineering,€87.40M,-10x,-0.22,€5.16,2.4%
101,SITOWS,Sitowise Group Oyj,Helsinki,Industrials,Construction & Engineering,€84.95M,239.9x,-0.44,€2.36,-0.4%
102,APETIT,Apetit,Helsinki,Consumer Non-Cyclicals,Food & Tobacco,€83.82M,8.7x,0.1,€13.50,-1.8%
103,VERK,Verkkokauppa.com Oyj,Helsinki,Consumer Cyclicals,Diversified Retail,€83.71M,-115.6x,0.6,€1.85,-1%
104,KSL,Keskisuomalainen A,Helsinki,Consumer Cyclicals,Media & Publishing,€82.17M,-6.3x,0.02,€8.18,0.7%
105,ALEX,Alexandria Pankkiiriliike Oyj,Helsinki,Financials,Investment Banking & Investment Services,€82.10M,10.2x,0.1,€7.75,-1.9%
106,RAUTE,Raute,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€81.06M,12.9x,0.12,€13.45,1.9%
107,CONSTI,Consti Yhtiot Oy,Helsinki,Industrials,Construction & Engineering,€80.72M,9.3x,-8.47,€10.20,-1%
108,PAMPALO,Endomines AB,Helsinki,Basic Materials,Metals & Mining,€80.65M,-12.5x,-0.2,€8.04,-2.4%
109,ILKKA2,Ilkka-Yhtyma Oyj 2,Helsinki,Consumer Cyclicals,Media & Publishing,€76.84M,17.7x,0.03,€3.03,0.3%
110,ASUNTO,Asuntosalkku Oy,Helsinki,Real Estate,Real Estate Operations,€73.01M,-6.6x,0.04,€74.50,0.7%
111,GLA1V,Glaston,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€71.62M,16.5x,0.65,€0.85,0.2%
112,KREATE,Kreate Group Oyj,Helsinki,Industrials,Construction & Engineering,€69.02M,18x,-3.47,€7.80,0.5%
113,NLG1V,Nurminen Logistics,Helsinki,Industrials,Freight & Logistics Services,€68.51M,5.3x,0.01,€0.88,0%
