107,ELE,Endesa,Madrid,Utilities,Electrical Utilities & IPPs,€19.23B,29x,-0.39,€18.14,-0.3%
108,CVC,CVC Capital Partners,Amsterdam,Financials,Investment Banking & Investment Services,€19.14B,46.8x,,€18.61,3.3%
109,HEIO,Heineken,Amsterdam,Consumer Non-Cyclicals,Beverages,€19.12B,35.5x,-0.6,€67.60,-0.4%
110,TLXGn,Talanx AG,Xetra,Financials,Insurance,€18.97B,10.2x,0.1,€73.55,3.2%
111,EBKG,Enbw Energie Baden Wuerttemberg,Xetra,Utilities,Electrical Utilities & IPPs,€17.98B,50.3x,,€67.20,3.7%
112,FREG,Fresenius SE,Xetra,Healthcare,Healthcare Providers & Services,€17.83B,-16x,-0.12,€31.63,-0.1%
113,PRY,Prysmian,Milan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€17.60B,31.5x,-1.24,€60.64,1.4%
114,SOGN,Societe Generale,Paris,Financials,Banking Services,€16.74B,9.4x,-0.18,€20.96,2%
115,LATOBs,Investment Latour,BATS Europe,Financials,Investment Holding Companies,€16.69B,32.1x,2.42,€25.65,0%
116,STDM,Sartorius Stedim,Paris,Healthcare,Healthcare Equipment & Supplies,€16.68B,95.3x,-1.36,€171.25,0.9%
117,UPM,UPM-Kymmene,Helsinki,Basic Materials,Paper & Forest Products,€16.12B,37.3x,-0.54,€30.22,1.5%
118,BOLL,Bollore,Paris,Consumer Cyclicals,Media & Publishing,€15.89B,62.5x,,€5.81,0.1%
119,MT,ArcelorMittal,Amsterdam,Basic Materials,Metals & Mining,€15.79B,-30.4x,0.25,€20.11,2%
120,SY1G,Symrise AG,Xetra,Basic Materials,Chemicals,€15.71B,40x,0.61,€112.45,0.5%
121,PST,Poste Italiane,Milan,Industrials,Freight & Logistics Services,€15.61B,8.7x,1.96,€12.06,1.3%
122,TRN,Terna,Milan,Utilities,Electrical Utilities & IPPs,€15.42B,15.1x,0.87,€7.68,0.4%
123,EDP,EDP,Lisbon,Utilities,Electrical Utilities & IPPs,€15.34B,12.3x,0.24,€3.68,-0.8%
124,NESTE,Neste Oyj,Helsinki,Energy,Oil & Gas,€15.31B,16.1x,-0.9,€19.93,3.8%
125,AM,Dassault Aviation,Paris,Industrials,Aerospace & Defense,€15.19B,19.1x,4.01,€194.60,0.1%
126,KYGa,Kerry Group,Ireland,Consumer Non-Cyclicals,Food & Tobacco,€15.12B,,-2.33,€88.35,0.2%
127,REP,Repsol,Madrid,Energy,Oil & Gas,€15.11B,4.7x,0.23,€12.82,1.1%
128,CBKG,Commerzbank,Xetra,Financials,Banking Services,€15.07B,7.2x,0.18,€12.69,3.1%
129,SRG,Snam,Milan,Energy,Oil & Gas Related Equipment and Services,€14.78B,13.8x,0.24,€4.41,0.5%
130,GALP,Galp Energia,Lisbon,Energy,Oil & Gas,€14.71B,10.8x,3.12,€19.09,1.6%
131,EDPR,EDP Renovaveis,Lisbon,Utilities,Electrical Utilities & IPPs,€14.54B,32.8x,-19.1,€14.07,-0.6%
132,690D,Qingdao Haier,Xetra,Consumer Cyclicals,Household Goods,€14.52B,6.6x,0.79,€1.59,0.6%
133,MTXGn,MTU Aero,Xetra,Industrials,Aerospace & Defense,€14.38B,-199.3x,1.67,€267.40,0.8%
134,MONC,Moncler SpA,Milan,Consumer Cyclicals,Textiles & Apparel,€14.33B,22.1x,1.18,€52.96,0.9%
135,TENR,Tenaris,Milan,Energy,Oil & Gas Related Equipment and Services,€14.08B,5.9x,-0.23,€12.70,-0.5%
136,KPN,Koninklijke KPN,Amsterdam,Technology,Telecommunications Services,€13.91B,17.7x,2.86,€3.57,-0.5%
137,AMUN,Amundi,Paris,Financials,Investment Banking & Investment Services,€13.52B,11.3x,2.04,€66.40,1.7%
138,8TRA,Traton,Xetra,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€13.50B,5.2x,0.1,€27.75,2.8%
139,PUIGb,Puig Brands,Madrid,,,€13.28B,8.7x,-0.28,€23.70,0.5%
140,SATG_p,Sartorius AG VZO,Xetra,Healthcare,Healthcare Equipment & Supplies,€13.16B,168.7x,,€239,1.5%
141,SRT4y,Sartorius DRC,Frankfurt,Healthcare,Healthcare Equipment & Supplies,€13.16B,168.7x,,€35.40,-2.7%
142,SATG,Sartorius AG,Frankfurt,Healthcare,Healthcare Equipment & Supplies,€13.16B,168.7x,,€190.60,0.9%
143,INDUAs,Industrivarden A,BATS Europe,Financials,Investment Holding Companies,€13.14B,6.7x,-0.49,€30.43,0%
144,LDOF,Leonardo,Milan,Industrials,Aerospace & Defense,€12.96B,13.1x,0.82,€22.52,3.2%
145,FORTUM,Fortum,Helsinki,Utilities,Electrical Utilities & IPPs,€12.94B,-6x,-0.01,€14.42,0.9%
146,OMVV,OMV AG,Vienna,Energy,Oil & Gas,€12.86B,8.2x,-0.44,€39.18,1.2%
147,EXHO,Sodexo,Paris,Consumer Cyclicals,Hotels & Entertainment Services,€12.83B,45.9x,-0.27,€87.85,0.9%
148,BVI,Bureau Veritas,Paris,Industrials,Professional & Commercial Services,€12.73B,25.4x,4.31,€28.44,0.5%
149,ABNd,ABN AMRO,Amsterdam,Financials,Banking Services,€12.60B,5.1x,0.57,€15.15,2.2%
150,AIBG,AIB,Ireland,Financials,Banking Services,€12.48B,,0.05,€5.16,2.8%
151,NN,NN Group NV,Amsterdam,Financials,Insurance,€12.24B,11.1x,-0.45,€44.60,-2.2%
152,PSHG_p,Porsche,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,€11.96B,,,€39.78,1.8%
153,CONG,Continental AG,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,€11.95B,14.6x,0.54,€59.50,1.7%
154,BOUY,Bouygues,Paris,Industrials,Construction & Engineering,€11.86B,11.9x,-2.2,€31.46,0.5%
155,SAABBs,SAAB B,BATS Europe,Industrials,Aerospace & Defense,€11.81B,37.1x,1.46,€22.12,0%
156,MDBI,Mediobanca,Milan,Financials,Banking Services,€11.70B,9.2x,0.34,€14.09,0.7%
157,KBX,Knorr-Bremse,Xetra,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€11.64B,19.4x,1.04,€71.95,0.9%
158,BIOX,Biomerieux,Paris,Healthcare,Healthcare Equipment & Supplies,€11.54B,32.2x,-1.52,€98.05,0.7%
159,ADP,Aeroports Paris,Paris,Industrials,Transport Infrastructure,€11.36B,14.8x,0.41,€115,1.2%
160,IETB,D’Ieteren,Brussels,Consumer Cyclicals,Specialty Retailers,€11.32B,22.7x,0.41,€213,1.5%
161,LUNDBs,Lundbergforetagen B,BATS Europe,Financials,Investment Holding Companies,€11.15B,14.9x,0.44,€44.95,0%
162,RENA,Renault,Paris,Consumer Cyclicals,Automobiles & Auto Parts,€11.07B,8x,-0.14,€41.22,2.2%
163,6657q,LG Electronics DRC,Frankfurt,Technology,"Computers, Phones & Household Electronics",€10.94B,,0.07,€14.30,1.4%
164,WRT1V,Wartsila,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€10.92B,29.1x,0.11,€18.54,0.1%
165,NEKG,Nemetschek AG,Xetra,Technology,Software & IT Services,€10.37B,58.7x,2.32,€89.65,0.7%
166,JMT,Jeronimo Martins,Lisbon,Consumer Non-Cyclicals,Food & Drug Retailing,€10.30B,15.9x,-2.78,€16.50,1.4%
167,HLAN,Hal Trust,Amsterdam,Financials,Investment Holding Companies,€10.28B,10.2x,0.2,€113.40,0.9%
168,JDEP,Jde Peets,Amsterdam,Consumer Non-Cyclicals,Food & Tobacco,€10.26B,19x,1.13,€21.08,0.1%
169,RECI,Recordati,Milan,Healthcare,Pharmaceuticals,€10.24B,26.5x,-68.28,€49.96,0.3%
170,ACS,ACS,Madrid,Industrials,Construction & Engineering,€10.22B,12.8x,0.95,€40.22,2.1%
171,RAAd,Rational AG,BATS Europe,Consumer Cyclicals,Household Goods,€10.11B,44.6x,16.44,€889,0.8%
172,1COV,Covestro,Xetra,Basic Materials,Chemicals,€10.07B,-31x,-0.5,€53.70,0.9%
173,FMEG,Fresenius Medical Care,Xetra,Healthcare,Healthcare Providers & Services,€9.98B,18.8x,-1.69,€34.01,-0.5%
174,EUFI,Eurofins Scientific,Paris,Healthcare,Healthcare Providers & Services,€9.93B,33.3x,-1.54,€51.18,-3.6%
175,SABE,Banco de Sabadell,Madrid,Financials,Banking Services,€9.88B,6.8x,0.13,€1.85,3.1%
176,INWT,Inwit,Milan,Technology,Telecommunications Services,€9.77B,28x,2.01,€10.48,1.2%
177,ENX,Euronext,Paris,Financials,Investment Banking & Investment Services,€9.73B,17x,0.32,€94.05,1%
178,HLE,Hella KGaA Hueck & Co,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,€9.66B,29.5x,0.54,€87.10,0.4%
179,CPRI,Campari,Milan,Consumer Non-Cyclicals,Beverages,€9.63B,28.1x,-4.04,€8.01,0.9%
180,VIV,Vivendi,Paris,Consumer Cyclicals,Media & Publishing,€9.62B,25x,0.19,€9.53,0.2%
181,BESI,BE Semiconductor,Amsterdam,Technology,Semiconductors & Semiconductor Equipment,€9.62B,56.9x,-7.32,€120,3.4%
182,ASRNL,ASR Nederland,Amsterdam,Financials,Insurance,€9.60B,7.8x,0.06,€45.62,2.6%
183,URW,Unibail-Rodamco,Paris,Real Estate,Residential & Commercial REITs,€9.46B,-9.2x,1.54,€67.86,0.6%
184,QIA,Qiagen,Xetra,Healthcare,Biotechnology & Medical Research,€9.39B,141.4x,-1.77,€42.20,1%
185,AEGN,Aegon,Amsterdam,Financials,Insurance,€9.36B,-48x,-0.56,€5.75,1.6%
186,CARR,Carrefour,Paris,Consumer Non-Cyclicals,Food & Drug Retailing,€9.23B,11.9x,-0.19,€13.96,0.4%
187,EDEN,Edenred,Paris,Industrials,Professional & Commercial Services,€9.19B,30.9x,-1.05,€37.49,0.9%
188,BNRGn,Brenntag AG,Xetra,Basic Materials,Chemicals,€9.17B,15.5x,-0.64,€63.46,0.4%
189,AKZO,Akzo Nobel,Amsterdam,Basic Materials,Chemicals,€9.16B,15.5x,0.16,€53.50,0.7%
190,LOTB,Lotus Bakeries,Brussels,Consumer Non-Cyclicals,Food & Tobacco,€8.79B,61.9x,,"€10,760",-1.3%
191,STEAV,Stora Enso Oyj A,Helsinki,Basic Materials,Containers & Packaging,€8.79B,-47.7x,0.37,€11.15,2.3%
192,IPN,Ipsen,Paris,Healthcare,Pharmaceuticals,€8.76B,13x,0.25,€105.50,-1.2%
193,BAMI,Banco Bpm,Milan,Financials,Banking Services,€8.75B,7x,,€5.82,0.3%
